date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-26,en.wikipedia,yes,treatment,39,1325630,28508
2018-11-26,es.wikipedia,no,control,723250,10892776,4
2018-11-26,es.wikipedia,no,treatment,725230,11523222,4
2018-11-26,es.wikipedia,yes,control,47,512842,7660
2018-11-26,es.wikipedia,yes,treatment,53,542028,7699
2018-11-26,pl.wikipedia,no,control,652957,2324668,3
2018-11-26,pl.wikipedia,no,treatment,661528,2837094,3
2018-11-26,pl.wikipedia,yes,control,34,109178,2929
2018-11-26,pl.wikipedia,yes,treatment,66,244288,2255
2018-11-27,bg.wikipedia,no,control,124187,255314,2
2018-11-27,bg.wikipedia,no,treatment,124179,251901,2
2018-11-27,bg.wikipedia,yes,control,43,28180,404
2018-11-27,bg.wikipedia,yes,treatment,57,30231,391
2018-11-27,en.wikipedia,no,control,2895903,51376382,4
2018-11-27,en.wikipedia,no,treatment,2886553,51154928,4
2018-11-27,en.wikipedia,yes,control,56,2200231,25320
2018-11-27,en.wikipedia,yes,treatment,44,1558255,23939
2018-11-27,es.wikipedia,no,control,723251,11008611,4
2018-11-27,es.wikipedia,no,treatment,725229,11683647,4
2018-11-27,es.wikipedia,yes,control,46,425704,7659.5
2018-11-27,es.wikipedia,yes,treatment,54,554322,8042
2018-11-27,pl.wikipedia,no,control,652954,2306245,3
2018-11-27,pl.wikipedia,no,treatment,661531,2806548,3
2018-11-27,pl.wikipedia,yes,control,37,126976,2300
2018-11-27,pl.wikipedia,yes,treatment,63,179836,2240
2018-11-28,bg.wikipedia,no,control,124182,245506,2
2018-11-28,bg.wikipedia,no,treatment,124184,246875,2
2018-11-28,bg.wikipedia,yes,control,48,23025,373.5
2018-11-28,bg.wikipedia,yes,treatment,52,24723,383
2018-11-28,en.wikipedia,no,control,2895900,50965486,4
2018-11-28,en.wikipedia,no,treatment,2886556,50724634,4
2018-11-28,en.wikipedia,yes,control,59,1968117,24785
2018-11-28,en.wikipedia,yes,treatment,41,1473581,24523
2018-11-28,es.wikipedia,no,control,723253,10749055,4
2018-11-28,es.wikipedia,no,treatment,725227,11371133,4
2018-11-28,es.wikipedia,yes,control,44,392480,7156
2018-11-28,es.wikipedia,yes,treatment,56,606556,7297.5
2018-11-28,pl.wikipedia,no,control,652959,2265423,3
2018-11-28,pl.wikipedia,no,treatment,661526,2738532,3
2018-11-28,pl.wikipedia,yes,control,32,104020,2127.5
2018-11-28,pl.wikipedia,yes,treatment,68,249712,1855.5
2018-11-29,bg.wikipedia,no,control,124181,238939,2
2018-11-29,bg.wikipedia,no,treatment,124185,240010,2
2018-11-29,bg.wikipedia,yes,control,49,22694,357
2018-11-29,bg.wikipedia,yes,treatment,51,20339,349
2018-11-29,en.wikipedia,no,control,2895902,50219163,4
2018-11-29,en.wikipedia,no,treatment,2886554,49793378,4
2018-11-29,en.wikipedia,yes,control,57,2611879,25792
2018-11-29,en.wikipedia,yes,treatment,43,1271318,24590
2018-11-29,es.wikipedia,no,control,723251,10130145,4
2018-11-29,es.wikipedia,no,treatment,725229,10732083,4
2018-11-29,es.wikipedia,yes,control,46,408488,6345
2018-11-29,es.wikipedia,yes,treatment,54,775858,7201
2018-11-29,pl.wikipedia,no,control,652950,2154311,3
2018-11-29,pl.wikipedia,no,treatment,661535,2619405,3
2018-11-29,pl.wikipedia,yes,control,41,112819,1914
2018-11-29,pl.wikipedia,yes,treatment,59,189894,2024
2018-11-30,bg.wikipedia,no,control,124184,210121,2
2018-11-30,bg.wikipedia,no,treatment,124182,207751,2
